index_gemini,doi_gemini,title_gemini,widgets_in_paper_gemini,scented_widgets_gemini,scented_widgets_gemini_corrected,answer_gemini
0,https://doi.org/10.1109/VISUAL.1990.146396, Vis-10.1109-VISUAL.1990.146396-p315-C-0,FALSE,FALSE,FALSE," no, no"
1,https://doi.org/10.1109/VISUAL.1990.146379, Vis-10.1109-VISUAL.1990.146379-p168-C-0,FALSE,FALSE,FALSE," no, no"
2,https://doi.org/10.1109/VISUAL.1990.146372, Vis-10.1109-VISUAL.1990.146372-p114-C-0,FALSE,FALSE,FALSE," no, no"
3,https://doi.org/10.1109/VISUAL.1990.146362, Vis-10.1109-VISUAL.1990.146362-p36-C-0,FALSE,FALSE,FALSE," no, no"
4,https://doi.org/10.1109/VISUAL.1990.146402, Vis-10.1109-VISUAL.1990.146402-p361-C-0,FALSE,FALSE,Unknown," No, I don't know."
5,https://doi.org/10.1109/VISUAL.1990.146402, Vis-10.1109-VISUAL.1990.146402-p361-C-0,FALSE,FALSE,FALSE," no, no"
6,https://doi.org/10.1109/VISUAL.1990.146370, Vis-10.1109-VISUAL.1990.146370-p97-C-0,FALSE,FALSE,Unknown," no, I don't know"
7,https://doi.org/10.1109/VISUAL.1990.146370, Vis-10.1109-VISUAL.1990.146370-p97-C-0,FALSE,FALSE,Unknown," No, I don't know."
8,https://doi.org/10.1109/VISUAL.1990.146364, Vis-10.1109-VISUAL.1990.146364-p51-C-0,FALSE,FALSE,FALSE," no, no"
9,https://doi.org/10.1109/VISUAL.1990.146362, Vis-10.1109-VISUAL.1990.146362-p36-C-0,FALSE,FALSE,Unknown," no, I don't know"
10,https://doi.org/10.1109/VISUAL.1990.146396, Vis-10.1109-VISUAL.1990.146396-p315-C-0,FALSE,FALSE,Unknown," no, I don't know"
11,https://doi.org/10.1109/VISUAL.1990.146379, Vis-10.1109-VISUAL.1990.146379-p168-C-0,FALSE,FALSE,Unknown," No, I don't know."
12,https://doi.org/10.1109/VISUAL.1990.146393, Vis-10.1109-VISUAL.1990.146393-p289-C-0,FALSE,FALSE,Unknown," No, I don't know."
13,https://doi.org/10.1109/VISUAL.1990.146365, Vis-10.1109-VISUAL.1990.146365-p59-C-0,FALSE,FALSE,Unknown," No, I don't know."
14,https://doi.org/10.1109/VISUAL.1990.146393, Vis-10.1109-VISUAL.1990.146393-p289-C-0,FALSE,FALSE,FALSE," no, no"
15,https://doi.org/10.1109/VISUAL.1990.146372, Vis-10.1109-VISUAL.1990.146372-p114-C-0,FALSE,FALSE,Unknown," no, I don't know"
16,https://doi.org/10.1109/VISUAL.1990.146360, Vis-10.1109-VISUAL.1990.146360-p14-C-0,FALSE,FALSE,Unknown," No, I don't know."
17,https://doi.org/10.1109/VISUAL.1990.146365, Vis-10.1109-VISUAL.1990.146365-p59-C-0,FALSE,FALSE,FALSE," no, no"
18,https://doi.org/10.1109/VISUAL.1990.146393, Vis-10.1109-VISUAL.1990.146393-p289-C-0,FALSE,FALSE,FALSE, No.
19,https://doi.org/10.1109/VISUAL.1990.146385, Vis-10.1109-VISUAL.1990.146385-p219-C-0,FALSE,FALSE,Unknown," no, I don't know"
20,https://doi.org/10.1109/VISUAL.1990.146396, Vis-10.1109-VISUAL.1990.146396-p315-C-0,FALSE,FALSE,Unknown," No, I don't know."
21,https://doi.org/10.1109/VISUAL.1990.146370, Vis-10.1109-VISUAL.1990.146370-p97-C-0,TRUE,TRUE,TRUE," Yes, there are. Yes, they are."
22,https://doi.org/10.1109/VISUAL.1990.146383, Vis-10.1109-VISUAL.1990.146383-p202-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
23,https://doi.org/10.1109/VISUAL.1990.146383, Vis-10.1109-VISUAL.1990.146383-p202-C-0,FALSE,FALSE,FALSE," no, no"
24,https://doi.org/10.1109/VISUAL.1990.146370, Vis-10.1109-VISUAL.1990.146370-p97-C-0,FALSE,FALSE,FALSE," no, no"
25,https://doi.org/10.1109/VISUAL.1990.146402, Vis-10.1109-VISUAL.1990.146402-p361-C-0,FALSE,FALSE,Unknown," no, I don't know"
26,https://doi.org/10.1109/VISUAL.1990.146362, Vis-10.1109-VISUAL.1990.146362-p36-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
27,https://doi.org/10.1109/VISUAL.1990.146385, Vis-10.1109-VISUAL.1990.146385-p219-C-0,TRUE,FALSE,Unknown," Yes, there are some sliders and buttons. I don't know if they are scented."
28,https://doi.org/10.1109/VISUAL.1990.146385, Vis-10.1109-VISUAL.1990.146385-p219-C-0,FALSE,FALSE,Unknown," No, I don't know."
29,https://doi.org/10.1109/VISUAL.1990.146372, Vis-10.1109-VISUAL.1990.146372-p114-C-0,FALSE,FALSE,Unknown," No, I don't know."
30,https://doi.org/10.1109/VISUAL.1990.146385, Vis-10.1109-VISUAL.1990.146385-p219-C-0,FALSE,FALSE,FALSE," no, no"
31,https://doi.org/10.1109/VISUAL.1990.146377, Vis-10.1109-VISUAL.1990.146377-p150-C-0,FALSE,FALSE,FALSE," no, no"
32,https://doi.org/10.1109/VISUAL.1990.146380, Vis-10.1109-VISUAL.1990.146380-p176-C-0,FALSE,FALSE,FALSE," no, no"
33,https://doi.org/10.1109/VISUAL.1990.146386, Vis-10.1109-VISUAL.1990.146386-p230-C-0,FALSE,FALSE,FALSE," no, no"
34,https://doi.org/10.1109/VISUAL.1990.146374, Vis-10.1109-VISUAL.1990.146374-p131-C-0,FALSE,FALSE,FALSE," no, no"
35,https://doi.org/10.1109/VISUAL.1990.146377, Vis-10.1109-VISUAL.1990.146377-p150-C-0,FALSE,FALSE,Unknown," No, I don't know."
36,https://doi.org/10.1109/VISUAL.1990.146418, Vis-10.1109-VISUAL.1990.146418-p443-C-0,FALSE,FALSE,Unknown," No, I don't know."
37,https://doi.org/10.1109/VISUAL.1990.146418, Vis-10.1109-VISUAL.1990.146418-p443-C-0,FALSE,FALSE,FALSE," no, no"
